,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,X_pca,Y_pca,x_jitter,y_jitter
0,100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,1.3050206886770066,-0.33597784995037255,1.253086327638885,-0.43464382576032723
1,3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,1.1236277367497387,-0.2946978766970105,1.3071385937724171,-0.27319364667859014
2,One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086,0.034732645752189706,-0.20408786209480914,0.163584908591736,0.13034813048782454
3,One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505,0.034732645752189706,-0.20408786209480914,-0.0974756883717818,-0.19253507740513143
4,Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,-0.46904293875708425,-0.5653686676903658,-0.35163658373214246,-0.48358401122323036
5,Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,1.182839305661024,-0.017081120812768087,1.3290917659267887,0.014824509405878802
6,Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,1.5324122904156114,-0.26289151014513457,1.6679315213310397,-0.4647929999432282
7,Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,-0.1315042418587758,0.6853575862931146,-0.0641132051858156,0.7714190196169121
8,Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963,-0.34121377449684803,0.5280617336341856,-0.3171254866617101,0.4359471160435395
9,Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,-0.26996791772928375,-0.690858153797419,-0.27292243908341407,-0.5894612052080447
10,Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,1.1236277367497387,-0.2946978766970105,1.2667661300542723,-0.18333376907653445
11,Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,-0.844989359006122,0.16678092803862898,-0.9488275889870859,0.10817163021613833
12,Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,-0.844989359006122,0.16678092803862898,-0.7100689776362131,0.11016545238854557
13,Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,-0.844989359006122,0.16678092803862898,-0.7307760899263029,0.21126291133216357
14,Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,-0.6611594896326208,-0.9365435601854335,-0.6323944764558758,-0.7793458211450982
15,Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,-0.844989359006122,0.16678092803862898,-0.7577451921237902,0.10041552268255427
16,Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,-0.6611594896326208,-0.9365435601854335,-0.8411421064306688,-0.8991636504437824
17,Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,-1.0371059098816586,-0.2043939644564387,-0.9946136838398794,-0.21950522498601435
18,Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,-0.844989359006122,0.16678092803862898,-0.7613505888765005,0.19365586124847392
19,Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,-0.34121377449684803,0.5280617336341856,-0.24620640541567962,0.567076644766292
20,Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,-0.844989359006122,0.16678092803862898,-0.936478084719568,-0.03363129266290821
21,Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772,-0.844989359006122,0.16678092803862898,-0.9077373172419327,0.27478961742115626
22,Hershey's Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454,0.1714154532548698,0.8064985041596298,0.1536165646510989,0.8061777179256597
23,Hershey's Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481,1.105945667649206,-0.21048836384331943,1.068319468017172,-0.17298791179664366
24,Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,0.9731297730229518,-0.17437697347169712,0.8367443208725307,-0.09562771682032098
25,Hershey's Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122,0.9731297730229518,-0.17437697347169712,0.8884081169710344,-0.061191068283368635
26,Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439,-1.0371059098816586,-0.2043939644564387,-1.0456646763391553,0.006198122785804144
27,Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925,0.1714154532548698,0.8064985041596298,0.2547852642655857,0.6724127386310055
28,Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686,1.105945667649206,-0.21048836384331943,1.0662386862723263,-0.27860926761400584
29,Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557,-0.46904293875708425,-0.5653686676903658,-0.5275005685422538,-0.5896380566718962
30,Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056,-0.6611594896326208,-0.9365435601854335,-0.6164221964309842,-1.0256916105235374
31,Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392,-0.46904293875708425,-0.5653686676903658,-0.39188722809199317,-0.5721127638848786
32,Peanut butter M&M's,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505,0.381124985892942,0.9637943568185587,0.3623916036472812,1.0589577871596627
33,M&M's,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585,0.1714154532548698,0.8064985041596298,-0.020699439363863426,0.8036440134743122
34,Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716,-0.844989359006122,0.16678092803862898,-0.8218128138606415,0.18447528955140013
35,Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072,0.3704904742826703,0.6810090180525765,0.4323353930288666,0.8305715424541219
36,Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556,1.322702757777539,-0.42018736280406366,1.5328818832791398,-0.5029640656148409
37,Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701,1.322702757777539,-0.42018736280406366,1.3017431124386463,-0.30154765337337797
38,Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334,1.1722047940507523,-0.2998664595787503,1.046631197869833,-0.22894015370817572
39,Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754,0.9731297730229518,-0.17437697347169712,0.7912063589105721,-0.22912874643257183
40,Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451,1.182839305661024,-0.017081120812768087,1.0280095882589215,-0.21847791905848574
41,Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046,-1.0371059098816586,-0.2043939644564387,-0.8893617500850929,-0.33616640861779357
42,Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641,1.182839305661024,-0.01708112081276797,1.1761459105970256,0.16626772475523852
43,Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068,1.105945667649206,-0.21048836384331943,1.0499310855139572,-0.34362889720957185
44,Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341,-0.844989359006122,0.16678092803862898,-0.6738936932969928,0.21617239935862562
45,Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468,-0.844989359006122,0.16678092803862898,-0.8166406730505475,0.2255941090131347
